id;valid_days;wear_time;total_counts_axis1;total_counts_vm;axis1_per_min;vm_per_min;minutes_SED;minutes_LPA;minutes_MPA;minutes_VPA;minutes_MVPA;percent_SED;percent_LPA;percent_MPA;percent_VPA;percent_MVPA;ratio_mvpa_sed;mets_hours_mvpa;total_kcal;pal;total_steps;max_steps_60min;max_steps_30min;max_steps_20min;max_steps_5min;max_steps_1min;peak_steps_60min;peak_steps_30min;peak_steps_20min;peak_steps_5min;peak_steps_1min;ig;M1/3;M120;M60;M30;M15;M5;mean_breaks;alpha;MBD;UBD;gini
39;6;785,67;416621,17;1049286,96;524,55;1326,33;164,17;542,67;78,83;0;78,83;21,00;69,29;9,71;0;9,71;0,56;0;NA;NA;9546,83;34,29;48,69;63,73;107,80;132,17;68,33;87,45;97,70;123,10;132,17;-1,50;567,14;2663,72;3646,23;4487,82;5306,61;5306,61;58,00;2,51;2,0;3,88;0,47
40;3;708,67;280426,33;665808,06;392,46;935,94;277,33;391,00;40,33;0;40,33;39,28;55,17;5,55;0;5,55;0,14;0;NA;NA;6055,67;30,63;35,46;37,37;64,00;95,33;50,42;62,99;69,97;86,60;95,33;-1,70;111,54;2003,50;2872,68;3943,32;4656,49;4656,49;78,33;2,33;2,0;5,86;0,55
41;6;763,83;228958,83;618945,34;298,22;806,08;307,00;424,00;32,83;0;32,83;40,38;55,38;4,24;0;4,24;0,11;0;NA;NA;5682,83;24,11;31,71;37,96;67,90;98,67;46,22;59,65;66,88;83,10;98,67;-1,61;151,97;1805,92;2656,42;3473,93;4103,18;4103,18;94,50;2,39;2,0;4,85;0,52
42;4;698,25;274907,50;668079,28;391,51;949,52;312,50;342,00;43,75;0;43,75;45,05;48,76;6,19;0;6,19;0,14;0;NA;NA;8260,50;42,44;56,45;64,01;101,45;119,75;76,89;95,21;100,96;112,00;119,75;-1,69;76,01;2115,90;3070,16;3776,04;4505,76;4505,76;70,50;2,05;2,0;7,62;0,55
43;3;791,33;209687,00;712806,05;266,05;904,73;296,00;472,00;23,33;0;23,33;37,70;59,28;3,01;0;3,01;0,08;0;NA;NA;5541,00;21,48;26,67;30,52;52,40;79,00;40,68;49,61;54,82;70,13;79,00;-1,84;181,43;2032,34;2727,37;3242,66;3646,55;3646,55;72,00;2,21;2,0;7,90;0,58
44;6;779,33;347551,67;784552,60;451,33;1011,24;342,00;375,00;62,33;0;62,33;44,08;47,78;8,14;0;8,14;0,22;0;NA;NA;10101,83;46,73;57,88;68,08;98,57;124,00;77,71;91,69;98,14;113,50;124,00;-1,66;160,83;2369,62;3396,59;4267,83;4913,42;4913,42;78,50;2,07;2,0;7,42;0,55
45;3;731,33;165426,67;480962,16;219,48;641,21;346,33;366,00;19,00;0;19,00;47,90;49,62;2,48;0;2,48;0,06;0;NA;NA;4591,00;23,38;30,52;33,33;58,67;78,33;41,40;52,41;58,02;71,93;78,33;-1,88;80,98;1387,84;2158,04;2923,48;3500,43;3500,43;105,67;2,29;2,0;4,61;0,49
46;6;741,67;215633,50;619020,61;287,99;829,91;277,00;439,00;25,67;0;25,67;37,46;59,14;3,39;0;3,39;0,10;0;NA;NA;6192,50;28,97;39,93;53,89;87,73;110,67;57,78;76,14;84,03;101,80;110,67;-1,71;154,27;1823,11;2567,22;3251,02;3768,19;3768,19;71,00;2,32;2,0;7,85;0,59
47;6;778,00;373051,00;930735,54;493,70;1228,90;294,00;406,33;77,67;0;77,67;36,87;52,67;10,46;0;10,46;0,37;0;NA;NA;9745,00;44,41;55,41;63,46;88,47;112,83;69,68;83,72;89,33;104,33;112,83;-1,54;248,34;2749,21;3630,57;4328,48;5059,10;5059,10;72,83;2,11;2,0;6,56;0,53
48;3;796,67;427630,67;1069912,99;546,66;1360,14;236,00;474,33;86,33;0;86,33;29,40;59,44;11,16;0;11,16;0,49;0;NA;NA;12027,00;46,70;55,04;59,88;85,13;114,33;72,99;84,82;90,40;105,80;114,33;-1,49;383,59;3013,15;4144,46;4976,10;5536,09;5536,09;75,00;2,28;2,0;4,24;0,46
49;6;751,67;290775,67;681681,88;388,63;905,19;348,50;348,17;55,00;0;55,00;46,43;46,22;7,35;0;7,35;0,16;0;NA;NA;8149,00;54,50;67,89;75,67;95,93;123,50;74,27;89,32;97,06;112,63;123,50;-1,57;83,37;2030,45;3227,77;4210,16;5066,55;5066,55;64,17;2,13;2,0;15,03;0,67
50;6;746,33;456209,33;983350,15;621,38;1333,59;258,67;402,50;85,17;0;85,17;34,37;53,93;11,70;0;11,70;0,72;0;NA;NA;11465,50;43,97;51,75;58,12;82,27;110,00;68,96;78,93;84,05;101,63;110,00;-1,59;342,80;2813,42;3736,03;4550,93;5439,75;5439,75;67,50;2,22;2,0;6,51;0,55
